tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2014032835259277467',How weak and pathetic do you have to be to be this scared of a fireside chat?,en,Tweet,35,2681,410,261,78387,2026-01-21 12:50:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2014015019743142024',"Donald Trump’s America:

 - Weakest job growth outside a recession since 2003
- Rising unemployment
- Manufacturing jobs shrinking
- Inflation up
- Electricity prices up 
- Mortgage rates painfully high",en,Tweet,88,6218,1280,1244,113825,2026-01-21 11:39:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2013640736755892676',"America is running out of Nickel. The Eagle Mine, the U.S.' only producing Nickel asset, is scheduled for closure in 2027. If @realDonaldTrump @JDVance  wants to secure the nations supply of a critical metal for national security, there is literally only one company that can bring an asset to production within 3 years - Homeland Nickel Inc, trading as SHL.V and SRCGF.  Don't even get me started on how @elonmusk  plans to feed his Tesla Nickel refinery. The question is, will they act before it's too late? Read the full thesis, link in bio.",en,Tweet,12,51,6,4,126856,2026-01-20 10:52:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2014000625483129248',"RT @undefined: COLLINS: Did it stand out to you that he said Iceland multiple times when he was talking about Greenland?

NEWSOM: And that every time a windmill turns it costs $1,000. A lot of stuff stands out. None of this is normal. There's a deviancy of consciousness. He's graded off the curve.",en,Retweet,671,14683,2479,175,587001,2026-01-21 10:42:22,"<a href=""https://snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>",,,video,https://video.twimg.com/amplify_video/2014000586648166401/vid/avc1/1280x720/VN8ApUyTYz8LvBgB.mp4?tag=14
'2014004121951514881',"Well, that was boring.",en,Tweet,120,15960,794,1859,406837,2026-01-21 10:56:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2013977202878988484',RT @undefined: Dozy Don conquers Davos! https://t.co/vZZAmCEc7K,fr,Retweet,72,7357,993,317,102343,2026-01-21 09:09:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G_MVl3UawAA4ao9.jpg
'2014000250554372549',"RT @undefined: Newsom: ""It was remarkably boring. It was remarkably insignificant. He was never going invade Greenland. It was never real."" https://t.co/TiNcTLWbvD",en,Retweet,355,7646,949,391,306922,2026-01-21 10:40:52,"<a href=""https://snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>",,,video,https://video.twimg.com/amplify_video/2014000216777646081/vid/avc1/1280x720/gTfjN6yn_ho6SIH7.mp4?tag=14
'2013980227823636667',“Americans bore 96 percent of the costs incurred by President Trump’s tariffs last year.”,en,Tweet,178,12054,2495,738,265227,2026-01-21 09:21:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2013974933953732687',"Trump isn’t putting the American worker first — he’s killing their jobs and loading them up with tariffs and taxes.

Costs are up — and job growth has fallen off a cliff since Trump took office.

We’re creating barely a third of the jobs we did under President Biden, and American workers are paying the price.

This isn’t revitalization — it’s deterioration.",en,Tweet,60,4693,1262,1538,143301,2026-01-21 09:00:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2013744283136991407',Could this smug man be more out of touch?,en,Tweet,324,24621,2942,5713,922138,2026-01-20 17:43:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2013700870869753990',To our allies: Stand firm. Stand tall. Stand united. https://t.co/F9TnG1S2lB,en,Tweet,247,17002,3212,3506,242659,2026-01-20 14:51:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/2013634864654798849/pu/vid/avc1/720x1280/amXGuSbmGR3ddiyQ.mp4?tag=12
