tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2014004177442136240',"RT @undefined: The United States cares greatly about the people of Europe and the bonds we share as a civilization. But we want strong allies, not seriously weakened ones. Europe must depart from the culture they've created over the last ten years. Otherwise, they will destroy themselves. https://t.co/rNQrd1KojK",en,Retweet,1217,42985,8585,4592,750913,2026-01-21 10:56:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2014004026682068992/vid/avc1/1920x1080/YQVkBaMyNFnjBBSZ.mp4?tag=21
'2013712959608946721',RT @undefined: We’re very happy to share some exciting news. Our family is growing! https://t.co/0RohEBYXM7,en,Retweet,2624,186072,13559,19316,12931208,2026-01-20 15:39:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G_IlQ74WkAAi0yx.jpg
'2012984285196607641',"RT @undefined: ICE officer to moronic female protester:

""We are here to arrest a child sex offender. You’re honking and impeding our investigation while we’re trying to arrest a child sex offender. That’s who you guys are protecting… insane.""
https://t.co/2Y2Eb6aXlc",en,Retweet,10412,138986,23394,5630,32469370,2026-01-18 15:23:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/2012931926747680768/pu/vid/avc1/1920x1080/Pm_-RR_8A-YhfZPq.mp4?tag=19
'2012552284375237067',"I'd like to thank @bray_rodric for not even trying to fight back against this extraordinary Democrat abuse of power. 

Now the votes of Indiana Republicans will matter far less than the votes of Virginia Democrats. We told you it would happen, and you did nothing.",en,Tweet,1397,54797,12708,6411,6051801,2026-01-17 10:47:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2011976110746046839',RT @undefined: https://t.co/zy9xOViGOF,zxx,Retweet,105,3779,485,368,286780,2026-01-15 20:37:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G-v5m8fW4AAxGdg.jpg
'2011556710713049339',"While much of left has lied about this case, it turns out ramming a law enforcement officer with a car causes injuries. Who knew!",en,Tweet,1277,100461,11397,13808,6385107,2026-01-14 16:51:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2011509052946391141',"RT @undefined: @CBSNews Wow, it's almost as if the thing that obviously happened because it was recorded from multiple angles and analyzed by the whole world on a frame by frame basis....actually happened

Amazing

Looking forward to seeing the next goalpost shift",en,Retweet,2136,87499,4252,1611,2971416,2026-01-14 13:41:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'2011427960775909717',"This argument is just entirely fake, for two reasons.

1) In the Obama administration, they counted being turned away at the border as a deportation. A person would show up, be sent back, and counted as a deportation. We have to do deportations from the interior of the country because Biden and Harris let them walk in.

2) In the cities that are not sanctuary cities, the deportation process is orderly and normal--like most law enforcement. In Minneapolis and a few other sanctuary jurisdictions, local jurisdictions and a few leftwing agitators have decided to wage war on all immigration enforcement officers. 

They are hoping that a little chaos will convince us to give up on immigration enforcement. They are wrong.",en,Tweet,5249,112612,17289,5356,33693126,2026-01-14 08:19:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2011428166154527112',"Note: until he was fired for being a leftwing radical, Terry Moran was pretending to be an objective journalist on one of the major networks.",en,Reply,393,47314,3353,940,1291828,2026-01-14 08:20:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2011122522276970822',"Scott Adams was a true American original, and a great ally to the President of the United States and the entire administration. My prayers go to Scott and all of you who loved him. 

We lost one of the good ones but we'll never forget him.",en,Tweet,1051,115358,9154,2310,1350980,2026-01-13 12:05:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2011106277796241408',Economists keep getting the Trump economy wrong!,en,Tweet,404,46078,6108,4101,1370710,2026-01-13 11:01:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
