tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1904326917408670169',RT @SecDef: A free and open Indo-Pacific is only possible through this American resolve. https://t.co/rbmDZKkoQ6,en,Retweet,37,3432,332,690,205467,2025-03-24 20:18:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gm2GunXaMAA0hYr.jpg
'1904814672664248787',RT @SecDef: Productive discussions with @INDOPACOM leadership and time well spent with service members and civilians. We’re committed to a free &amp; open Indo-Pacific through an America First approach—peace through strength. Next stop: Guam. https://t.co/KWTHVhxuyZ,en,Retweet,124,11192,1655,1312,576410,2025-03-26 04:36:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1904813817105965056/pu/vid/avc1/720x1280/d1rR_mGnTSsltDNx.mp4?tag=12
'1904974332532490584',"RT @SecDef: One more time…

I see war plans every single day. No one is texting war plans. https://t.co/ujU7IvHGmL",en,Retweet,911,45096,6147,6171,1568763,2025-03-26 15:10:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1904973168164372481/vid/avc1/1920x1080/FVPYqu4SfcftzDZz.mp4?tag=16
'1904964477683970446',"RT @Surabees: 🔥VP @JDVance: ""No more quotas. No more diversity trainings. We believe the real strength &amp; diversity in the United States Marine Corps is that you all come from every walk of life...And you have got the strength and the purpose to win the nation's wars.""

https://t.co/noKG8Wnen5",en,Retweet,117,5894,1022,257,617478,2025-03-26 14:31:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1904962674640728064/vid/avc1/888x486/HqXCBdydgI7I8hn5.mp4?tag=16
'1904924373678752002',"RT @SeanParnellUSA: No targets. 
No locations. 
No units. 
No routes. 
No sources. 
No methods. 
No classified information.

Just another hoax by the Atlantic foisted on the American people meant to undermine SECDEF Hegseth’s leadership &amp; President Trump’s national security agenda.

It won’t work.",en,Retweet,624,24365,6059,5042,1183227,2025-03-26 11:52:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1904900806463139965',"RT @RapidResponse47: Flashback to 2017, when @TheAtlantic called Signal “the gold standard of encrypted messaging” — and admitted it was used by Obama and Hillary Clinton staffers. https://t.co/jfKyBsJJ7K",en,Retweet,958,12124,4225,1036,624294,2025-03-26 10:18:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gm-RL2JWsAAr6EJ.jpg
'1904917343169343991',"RT @DODResponse: No names. No targets. No locations. No classified info. No war plans. Just an update in real time.

@TheAtlantic is a hoax generating machine!",en,Retweet,130,5607,1146,1003,969870,2025-03-26 11:24:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1904918673250468002',"So, let’s me get this straight. The Atlantic released the so-called “war plans” and those “plans” include: No names. No targets. No locations. No units. No routes. No sources. No methods. And no classified information.

Those are some really shitty war plans.

This only proves one thing: Jeff Goldberg has never seen a war plan or an “attack plan” (as he now calls it). Not even close.

As I type this, my team and I are traveling the INDOPACOM region, meeting w/ Commanders (the guys who make REAL “war plans”) and talking to troops. 

We will continue to do our job, while the media does what it does best: peddle hoaxes.",en,Tweet,6475,194640,37855,22289,9307632,2025-03-26 11:29:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1904913372732391643',"RT @SeanParnellUSA: STATEMENT:

It’s no surprise hoax-peddlers at the Atlantic have already abandoned their “war plans” claim. 

These additional Signal chat messages confirm there were no classified materials or war plans shared. The Secretary was merely updating the group on a plan that was underway & had already been briefed through official channels. 

The American people see through the Atlantic’s pathetic attempts to distract from President Trump’s national security agenda.",en,Retweet,71,2978,761,557,627742,2025-03-26 11:08:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gm-cnSMbYAE-4Vx.jpg
'1904874968581632040',"RT @Taylor47: The Atlantic has already abandoned their bullshit “war plans” narrative, and in releasing the full chat , they concede they LIED to perpetuate yet ANOTHER hoax on the American people. 

What scumbags! https://t.co/RHSEGici2L",en,Retweet,523,9759,2767,1840,5991394,2025-03-26 08:35:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gm95r-pXEAAN_Fy.jpg
